date,estacion,VH_db,month,tipo,year,VH_z
2025-01-01,Cano Clarin,-16.370776525409244,1,manglar,2025,0.18100424927063874
2025-02-01,Cano Clarin,-18.60988577738233,2,manglar,2025,-1.1735100073734461
2025-03-01,Cano Clarin,-19.592038144793207,3,manglar,2025,-1.7676477800982409
2025-04-01,Cano Clarin,-18.779008223422345,4,manglar,2025,-1.2758179961765186
2025-05-01,Cano Clarin,-15.77948055392627,5,manglar,2025,0.5386995348240969
2025-06-01,Cano Clarin,-14.269752911266888,6,manglar,2025,1.4519857506841787
2025-07-01,Cano Clarin,-14.444257643186797,7,manglar,2025,1.3464218318941137
2025-08-01,Cano Clarin,-14.50738617423849,8,manglar,2025,1.308233210577325
2025-09-01,Cano Clarin,-14.708359362934788,9,manglar,2025,1.1866576112391163
2025-10-01,Cano Clarin,-14.139984386387503,10,manglar,2025,1.530487198015482
2025-11-01,Cano Clarin,-14.077959591313135,11,manglar,2025,1.5680081314490013
2025-12-01,Cano Clarin,-14.336560892259058,12,manglar,2025,1.4115713034517534
2018-01-01,Cano Palos,-16.018683629832072,1,manglar,2018,-0.4035071144504358
2018-02-01,Cano Palos,-15.687626021692786,2,manglar,2018,0.04132421230000742
2018-03-01,Cano Palos,-15.481388193646326,3,manglar,2018,0.31843926545244294
2018-04-01,Cano Palos,-15.945123539586858,4,manglar,2018,-0.30466681676455987
2018-05-01,Cano Palos,-15.671303732630141,5,manglar,2018,0.06325594055766368
2018-06-01,Cano Palos,-16.312563446759338,6,manglar,2018,-0.7983838538906973
2018-07-01,Cano Palos,-16.76573572959285,7,manglar,2018,-1.4072966922102017
2018-08-01,Cano Palos,-16.048253546206784,8,manglar,2018,-0.4432392481017141
2018-09-01,Cano Palos,-16.61992368308519,9,manglar,2018,-1.2113737938700708
2018-10-01,Cano Palos,-17.165280244508068,10,manglar,2018,-1.9441516452334284
2018-11-01,Cano Palos,-17.132186593746546,11,manglar,2018,-1.8996847844414237
2018-12-01,Cano Palos,-17.117153801979498,12,manglar,2018,-1.8794857117057635
2019-01-01,Cano Palos,-16.832549197185596,1,manglar,2019,-1.4970717727501843
2019-02-01,Cano Palos,-16.33356065259905,2,manglar,2019,-0.8265971155771705
2019-03-01,Cano Palos,-16.174746830730857,3,manglar,2019,-0.6132041551042176
2019-04-01,Cano Palos,-16.821126550101994,4,manglar,2019,-1.4817235338567798
2019-05-01,Cano Palos,-15.759285490417534,5,manglar,2019,-0.05496228214494219
2019-06-01,Cano Palos,-16.817881441102642,6,manglar,2019,-1.4773631865753967
2019-07-01,Cano Palos,-16.765286507069035,7,manglar,2019,-1.4066930865344451
2019-08-01,Cano Palos,-17.113865619958606,8,manglar,2019,-1.8750674886080632
2019-09-01,Cano Palos,-16.960381470813147,9,manglar,2019,-1.6688358358051698
2019-10-01,Cano Palos,-16.67831324025561,10,manglar,2019,-1.2898299403107838
2019-11-01,Cano Palos,-16.976767108413142,11,manglar,2019,-1.69085268342944
2019-12-01,Cano Palos,-16.90219843914652,12,manglar,2019,-1.59065719095814
2020-01-01,Cano Palos,-16.659649637975654,1,manglar,2020,-1.264752265730831
2020-02-01,Cano Palos,-16.418563804098483,2,manglar,2020,-0.9408130820126938
2020-03-01,Cano Palos,-16.319316301476917,3,manglar,2020,-0.8074574448595231
2020-04-01,Cano Palos,-17.18192880993229,4,manglar,2020,-1.9665217804125383
2020-05-01,Cano Palos,-17.0678182902468,5,manglar,2020,-1.8131951912633695
2020-06-01,Cano Palos,-16.198661051966685,6,manglar,2020,-0.6453369153821843
2020-07-01,Cano Palos,-16.91713267917551,7,manglar,2020,-1.610723842932831
2020-08-01,Cano Palos,-16.636940321730123,8,manglar,2020,-1.2342384970490818
2020-09-01,Cano Palos,-16.614635676577247,9,manglar,2020,-1.2042684717359138
2020-10-01,Cano Palos,-16.479871345334633,10,manglar,2020,-1.0231900286147193
2020-11-01,Cano Palos,-15.984903154775251,11,manglar,2020,-0.3581173902201331
2020-12-01,Cano Palos,-15.990578379970971,12,manglar,2020,-0.36574300549479405
2021-01-01,Cano Palos,-16.14559719189457,1,manglar,2021,-0.5740367346944547
2021-02-01,Cano Palos,-16.27790044249443,2,manglar,2021,-0.7518083039041602
2021-03-01,Cano Palos,-15.87335346025709,3,manglar,2021,-0.20823169845181777
2021-04-01,Cano Palos,-15.826947381961322,4,manglar,2021,-0.1458773623179505
2021-05-01,Cano Palos,-16.002123921009975,5,manglar,2021,-0.3812563729938757
2021-06-01,Cano Palos,-15.2147560112637,6,manglar,2021,0.6767042457084724
2021-07-01,Cano Palos,-15.085347883557022,7,manglar,2021,0.8505857325699175
